Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","188","Costa Rica","5910","Export quantity","01312","Bananas","2002","2002","t","1873346","A","Official figure",""
"TCL","Crops and livestock products","188","Costa Rica","5910","Export quantity","01312","Bananas","2003","2003","t","2042570","A","Official figure",""
"TCL","Crops and livestock products","188","Costa Rica","5910","Export quantity","01312","Bananas","2004","2004","t","2016687","A","Official figure",""
"TCL","Crops and livestock products","188","Costa Rica","5910","Export quantity","01312","Bananas","2005","2005","t","1775519","A","Official figure",""
"TCL","Crops and livestock products","218","Ecuador","5910","Export quantity","01312","Bananas","1994","1994","t","3007925","A","Official figure",""
"TCL","Crops and livestock products","218","Ecuador","5910","Export quantity","01312","Bananas","1995","1995","t","3665182","A","Official figure",""
"TCL","Crops and livestock products","218","Ecuador","5910","Export quantity","01312","Bananas","1996","1996","t","3866079","A","Official figure",""
"TCL","Crops and livestock products","218","Ecuador","5910","Export quantity","01312","Bananas","1997","1997","t","4462099","A","Official figure",""
"TCL","Crops and livestock products","218","Ecuador","5910","Export quantity","01312","Bananas","1998","1998","t","3855643","A","Official figure",""
"TCL","Crops and livestock products","218","Ecuador","5910","Export quantity","01312","Bananas","1999","1999","t","3966126","A","Official figure",""
"TCL","Crops and livestock products","218","Ecuador","5910","Export quantity","01312","Bananas","2000","2000","t","3993968","A","Official figure",""
"TCL","Crops and livestock products","218","Ecuador","5910","Export quantity","01312","Bananas","2001","2001","t","3990427","A","Official figure",""
"TCL","Crops and livestock products","218","Ecuador","5910","Export quantity","01312","Bananas","2002","2002","t","4199156","A","Official figure",""
"TCL","Crops and livestock products","218","Ecuador","5910","Export quantity","01312","Bananas","2003","2003","t","4664814","A","Official figure",""
"TCL","Crops and livestock products","218","Ecuador","5910","Export quantity","01312","Bananas","2004","2004","t","4521458","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","218","Ecuador","5910","Export quantity","01312","Bananas","2005","2005","t","4764193","A","Official figure",""
"TCL","Crops and livestock products","320","Guatemala","5910","Export quantity","01312","Bananas","1994","1994","t","567882","A","Official figure",""
"TCL","Crops and livestock products","320","Guatemala","5910","Export quantity","01312","Bananas","1995","1995","t","635503","A","Official figure",""
"TCL","Crops and livestock products","320","Guatemala","5910","Export quantity","01312","Bananas","1996","1996","t","611183","A","Official figure",""
"TCL","Crops and livestock products","320","Guatemala","5910","Export quantity","01312","Bananas","1997","1997","t","659392","A","Official figure",""
"TCL","Crops and livestock products","320","Guatemala","5910","Export quantity","01312","Bananas","1998","1998","t","794240","A","Official figure",""
"TCL","Crops and livestock products","320","Guatemala","5910","Export quantity","01312","Bananas","1999","1999","t","623582.7","A","Official figure",""
"TCL","Crops and livestock products","320","Guatemala","5910","Export quantity","01312","Bananas","2000","2000","t","801514.5","A","Official figure",""
"TCL","Crops and livestock products","320","Guatemala","5910","Export quantity","01312","Bananas","2001","2001","t","873829","A","Official figure",""
"TCL","Crops and livestock products","320","Guatemala","5910","Export quantity","01312","Bananas","2002","2002","t","980557","A","Official figure",""
"TCL","Crops and livestock products","320","Guatemala","5910","Export quantity","01312","Bananas","2003","2003","t","936114","A","Official figure",""
"TCL","Crops and livestock products","320","Guatemala","5910","Export quantity","01312","Bananas","2004","2004","t","1058161","A","Official figure",""
"TCL","Crops and livestock products","320","Guatemala","5910","Export quantity","01312","Bananas","2005","2005","t","1129477","A","Official figure",""
"TCL","Crops and livestock products","340","Honduras","5910","Export quantity","01312","Bananas","1994","1994","t","445612","A","Official figure",""
"TCL","Crops and livestock products","340","Honduras","5910","Export quantity","01312","Bananas","1995","1995","t","521637","A","Official figure",""
"TCL","Crops and livestock products","340","Honduras","5910","Export quantity","01312","Bananas","1996","1996","t","573710","A","Official figure",""
"TCL","Crops and livestock products","340","Honduras","5910","Export quantity","01312","Bananas","1997","1997","t","488671","A","Official figure",""
